model,avg_r2,avg_mae,avg_rmse,rows
GradBoost,0.4997092592592593,32.57203703703704,48.36925925925926,54
RandomForest,0.4914388888888889,34.156851851851854,48.791666666666664,54
XGBoost,0.49022592592592595,32.971296296296295,48.85574074074074,54
BiLSTM,0.2831296296296296,39.072407407407404,56.64925925925926,54
LSTM,0.2768074074074074,39.07351851851851,56.833518518518524,54
CNN-BiLSTM,-0.41467777777777776,48.21407407407407,67.49518518518518,54
