horizon,avg_r2,avg_mae,avg_rmse
1,0.5313,30.273796296296297,45.68046296296296
6,0.17745092592592596,39.62861111111111,57.00722222222222
24,0.10456574074074075,43.127685185185186,60.809629629629626
