model,avg_r2,avg_mae,avg_rmse,cities
GradBoost,0.9906277777777777,2.945,5.766111111111112,18
RandomForest,0.9873833333333333,1.642777777777778,6.047777777777778,18
XGBoost,0.9856222222222222,2.8305555555555553,6.820555555555555,18
Ridge,0.8304111111111111,18.69222222222222,28.16722222222222,18
LSTM,0.6411388888888889,27.037222222222223,39.355555555555554,18
BiLSTM,0.5896944444444444,27.568333333333335,40.59388888888889,18
CNN-BiLSTM,0.2756222222222222,42.248333333333335,58.54277777777778,18
