city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Jodhpur,6,RandomForest,B,30326,6499,71,0.2505,58.24,78.71,89.01,0.0843
Jodhpur,6,GradientBoosting,B,30326,6499,71,0.2417,57.38,79.17,124.49,0.0154
Jodhpur,6,XGBoost,B,30326,6499,71,0.2816,53.87,77.06,2.57,0.0124
Jodhpur,24,RandomForest,B,30313,6497,71,0.2134,61.51,80.65,88.44,0.0838
Jodhpur,24,GradientBoosting,B,30313,6497,71,0.1393,68.34,84.36,122.88,0.0164
Jodhpur,24,XGBoost,B,30313,6497,71,0.1166,68.96,85.47,2.61,0.0125
Mumbai,1,RandomForest,B,38082,8162,72,0.5489,25.88,41.61,142.4,0.0841
Mumbai,1,GradientBoosting,B,38082,8162,72,0.5053,26.17,43.58,170.28,0.0172
Mumbai,1,XGBoost,B,38082,8162,72,0.5833,25.33,40.0,2.62,0.0152
Mumbai,6,RandomForest,B,38079,8161,72,0.153,38.56,57.02,143.94,0.0747
Mumbai,6,GradientBoosting,B,38079,8161,72,0.3112,31.69,51.42,169.0,0.0168
Mumbai,6,XGBoost,B,38079,8161,72,0.2646,34.77,53.14,2.76,0.0151
Mumbai,24,RandomForest,B,38066,8158,72,-0.8252,61.73,83.72,136.4,0.0738
Mumbai,24,GradientBoosting,B,38066,8158,72,0.0111,43.18,61.63,169.97,0.017
Mumbai,24,XGBoost,B,38066,8158,72,-0.0088,43.41,62.24,2.75,0.0152
Mumbai_suburbs,1,RandomForest,B,15136,3245,71,0.824,13.0,20.46,46.23,0.0649
Mumbai_suburbs,1,GradientBoosting,B,15136,3245,71,0.8414,11.99,19.42,63.55,0.0075
Mumbai_suburbs,1,XGBoost,B,15136,3245,71,0.8484,11.87,18.98,2.36,0.0069
Mumbai_suburbs,6,RandomForest,B,15133,3244,71,0.6577,21.42,28.52,45.91,0.054
Mumbai_suburbs,6,GradientBoosting,B,15133,3244,71,0.6463,21.15,28.99,63.84,0.007
Mumbai_suburbs,6,XGBoost,B,15133,3244,71,0.6525,21.17,28.74,2.35,0.007
Mumbai_suburbs,24,RandomForest,B,15120,3241,71,0.4959,25.38,34.6,45.86,0.0538
Mumbai_suburbs,24,GradientBoosting,B,15120,3241,71,0.4038,28.76,37.63,64.04,0.0068
Mumbai_suburbs,24,XGBoost,B,15120,3241,71,0.4184,27.78,37.17,2.25,0.0069
Nagpur,1,RandomForest,B,56489,12106,70,0.8576,16.65,24.79,203.35,0.1696
Nagpur,1,GradientBoosting,B,56489,12106,70,0.8617,16.31,24.43,257.06,0.0273
Nagpur,1,XGBoost,B,56489,12106,70,0.8679,15.57,23.88,3.11,0.0233
Nagpur,6,RandomForest,B,56485,12105,70,0.6836,25.98,36.96,197.94,0.1452
Nagpur,6,GradientBoosting,B,56485,12105,70,0.7001,24.81,35.98,256.49,0.027
Nagpur,6,XGBoost,B,56485,12105,70,0.7075,24.05,35.53,3.22,0.022
Nagpur,24,RandomForest,B,56473,12102,70,0.6116,29.52,40.95,209.47,0.1553
Nagpur,24,GradientBoosting,B,56473,12102,70,0.6454,27.59,39.13,263.14,0.0267
Nagpur,24,XGBoost,B,56473,12102,70,0.6414,27.62,39.35,3.11,0.0223
Pune,1,RandomForest,B,49325,10571,64,0.3722,44.53,65.16,174.94,0.0854
Pune,1,GradientBoosting,B,49325,10571,64,0.3942,39.57,64.01,204.37,0.0217
Pune,1,XGBoost,B,49325,10571,64,0.4534,37.4,60.79,2.48,0.0195
Pune,6,RandomForest,B,49322,10569,64,0.1501,54.82,75.82,174.85,0.0863
Pune,6,GradientBoosting,B,49322,10569,64,0.2489,47.87,71.27,198.21,0.0213
Pune,6,XGBoost,B,49322,10569,64,0.1714,50.92,74.86,2.58,0.0195
Pune,24,RandomForest,B,49309,10567,64,-0.328,75.53,94.77,177.6,0.0759
Pune,24,GradientBoosting,B,49309,10567,64,0.2421,47.03,71.6,196.95,0.0222
Pune,24,XGBoost,B,49309,10567,64,0.2378,48.89,71.8,2.51,0.0192
Singrauli,1,RandomForest,B,48653,10427,64,0.6664,42.89,62.27,135.31,0.1451
Singrauli,1,GradientBoosting,B,48653,10427,64,0.684,40.24,60.61,165.98,0.0245
Singrauli,1,XGBoost,B,48653,10427,64,0.6852,40.37,60.49,2.87,0.019
Singrauli,6,RandomForest,B,48650,10425,64,0.4557,59.57,79.54,136.5,0.1143
Singrauli,6,GradientBoosting,B,48650,10425,64,0.5229,54.17,74.47,166.87,0.0221
Singrauli,6,XGBoost,B,48650,10425,64,0.5109,55.11,75.4,2.8,0.0191
Singrauli,24,RandomForest,B,48637,10423,64,0.3809,63.75,84.85,145.37,0.1249
Singrauli,24,GradientBoosting,B,48637,10423,64,0.4472,58.57,80.17,166.14,0.0236
Singrauli,24,XGBoost,B,48637,10423,64,0.4107,60.36,82.77,2.81,0.0189
