city,model,track,n_test,n_features,R2,MAE,RMSE,train_time_s,inference_time_s
Thane,XGBoost,A_Estimation,3079,81,0.9934,1.256,3.879,3.92,0.0099
Vapi,Ridge,A_Estimation,8744,79,0.8204,23.876,32.503,0.02,0.0009
Vapi,Random Forest,A_Estimation,8744,79,0.9942,2.424,5.825,151.59,0.1257
Vapi,Gradient Boosting,A_Estimation,8744,79,0.9893,5.018,7.935,207.96,0.0306
Vapi,XGBoost,A_Estimation,8744,79,0.9944,3.584,5.737,3.79,0.0236
bhopal,Ridge,A_Estimation,6528,80,0.8414,19.358,31.327,0.01,0.0006
bhopal,Random Forest,A_Estimation,6528,80,0.9849,2.101,9.673,121.51,0.105
bhopal,Gradient Boosting,A_Estimation,6528,80,0.9919,2.459,7.089,168.94,0.0232
bhopal,XGBoost,A_Estimation,6528,80,0.9745,3.818,12.563,4.41,0.0182
vishakhapattanam,Ridge,A_Estimation,5193,82,0.9495,12.538,19.215,0.01,0.0007
vishakhapattanam,Random Forest,A_Estimation,5193,82,0.9955,1.142,5.74,101.19,0.0854
vishakhapattanam,Gradient Boosting,A_Estimation,5193,82,0.9971,1.675,4.623,135.27,0.0175
vishakhapattanam,XGBoost,A_Estimation,5193,82,0.9939,2.282,6.666,4.04,0.015
