PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
60.5,174.1,1.2275,9.465,6.03,,6.84,1.1875,,,,28.45,53.5175,2.235,203.41,368.92,850.0,149.9,Moderate,Surat
138.5,174.8325,1.265,9.25,5.9525,,6.245,1.21,,,,31.0925,47.9,1.905,183.9925,443.18,850.0,315.1,Very Poor,Surat
132.5,180.0775,1.3275,9.2575,6.0025,,6.2875,1.3,,,,34.94,39.455,0.89,159.725,487.03,850.0,310.5,Very Poor,Surat
113.75,206.5075,1.405,9.2825,6.08,,6.095,1.2425,,,,36.6775,35.435,0.99,189.0875,464.2175,850.0,279.4,Poor,Surat
58.9175,182.8675,1.3525,9.245,6.0175,,5.17,0.94,,,,36.91,31.57,1.42,219.77,444.545,850.0,155.7,Moderate,Surat
21.0,143.0,1.3775,9.2675,6.05,,5.425,0.7525,,,,36.4075,31.51,1.895,191.78,336.51,850.0,129.4,Moderate,Surat
21.0,143.0,1.3725,9.2425,6.0325,,4.7675,0.7875,,,,36.315,35.765,1.4075,199.09,193.5225,850.0,129.4,Moderate,Surat
36.75,139.0,1.305,9.4225,6.0725,,4.38,0.9025,,,,35.2525,44.7975,1.0275,105.415,91.1375,850.0,126.7,Moderate,Surat
81.75,127.6,1.0875,9.41,5.89,,4.22,0.96,,,,33.175,48.0275,0.85,107.36,30.7225,850.0,172.8,Moderate,Surat
75.0,123.0,1.32,9.3925,6.0675,,4.0625,1.2275,,,,30.7275,53.575,0.885,72.6825,0.455,850.0,150.5,Moderate,Surat
78.2925,129.4675,1.3325,9.55,6.165,,4.3225,1.3775,,,,30.0525,55.05,1.09,50.3325,0.0,850.0,161.4,Moderate,Surat
89.1425,152.5675,1.465,9.2075,6.0875,,5.2575,1.64,,,,29.14,57.8525,0.6025,72.1625,0.0,850.0,197.2,Moderate,Surat
105.75,170.3325,1.385,9.3375,6.095,,5.66,2.1125,,,,27.8275,63.115,0.3625,117.275,0.0,850.0,253.0,Poor,Surat
125.5175,197.2675,1.2775,9.335,6.0075,,5.1175,1.895,,,,27.255,64.565,0.395,154.3425,0.0,850.0,305.2,Very Poor,Surat
125.6925,189.065,1.3175,9.41,6.08,,4.985,1.7575,,,,27.14,65.5125,0.435,150.05,0.0,850.0,305.3,Very Poor,Surat
137.5,211.8675,1.1775,9.47,5.995,,5.065,1.96,,,,26.405,67.0725,0.5225,211.655,0.0,850.0,314.3,Very Poor,Surat
158.25,238.6675,1.1525,9.4525,5.9625,,5.67,1.6725,,,,26.06,62.21,0.4725,192.55,0.0,850.0,330.1,Very Poor,Surat
