PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
103.9675,195.05,7.0325,21.0225,16.7225,,9.4575,1.355,28.5925,2.145,2.2475,,38.515,0.32,232.8975,357.575,724.25,247.1,Poor,Jodhpur
140.815,325.175,7.0125,29.16,21.0925,,11.9475,1.0175,46.7325,2.125,2.2325,,36.01,0.4475,115.625,392.7075,725.15,316.9,Very Poor,Jodhpur
115.7075,314.6,7.3075,31.5725,22.615,,12.475,1.1525,66.73,2.0875,2.11,,34.1625,0.4225,75.0975,354.085,726.15,285.8,Poor,Jodhpur
116.45,309.075,9.915,26.2425,21.9225,,10.4225,1.035,64.875,2.1125,2.245,,33.3325,0.5625,220.9675,301.5525,727.025,288.3,Poor,Jodhpur
100.32,296.975,8.3275,12.99,13.6975,,12.2575,0.41,61.7875,2.1175,2.19,,33.445,0.845,94.85,189.075,727.15,247.5,Poor,Jodhpur
79.4475,262.275,7.41,13.155,12.3425,,11.655,1.1025,64.7125,2.1575,2.3175,,33.365,0.845,114.5525,104.7375,727.05,213.2,Poor,Jodhpur
79.0525,257.025,4.33,20.5075,13.3,,8.64,1.9325,52.265,2.1075,2.1725,,35.0025,0.4775,17.63,27.145,726.725,208.0,Poor,Jodhpur
93.47,259.875,6.2825,20.92,16.2125,,6.63,1.305,48.2575,2.145,2.125,,36.5325,1.16,31.085,11.12,726.5,212.5,Poor,Jodhpur
94.685,254.775,5.7825,12.5375,11.3775,,6.8,1.155,52.97,1.9475,2.2425,,36.37,1.3125,35.7275,11.42,726.125,216.5,Poor,Jodhpur
116.9525,228.025,7.125,15.875,14.255,,7.7575,1.1925,25.31,2.165,2.19,,36.8725,1.5325,53.2625,11.5625,725.85,289.9,Poor,Jodhpur
110.3,221.575,7.1025,20.9825,16.8825,,5.895,1.2025,17.515,2.125,2.285,,39.105,1.2225,64.33,11.25,725.625,268.0,Poor,Jodhpur
110.2475,221.025,11.5375,18.28,19.0525,,7.1825,0.2525,14.155,2.0625,2.205,,41.1375,1.225,54.81,10.9,725.5,267.8,Poor,Jodhpur
116.01,229.825,10.1275,15.95,16.62,,9.35,0.13,15.6275,1.9425,2.185,,42.7625,1.1075,64.12,11.045,725.575,286.8,Poor,Jodhpur
138.56,268.3,6.5425,14.3225,11.015,,10.47,1.53,12.2825,2.0575,2.195,,44.69,1.11,69.5925,11.61,725.775,315.1,Very Poor,Jodhpur
162.7475,337.95,5.9175,13.8075,12.085,,5.4275,2.085,17.6225,2.1075,2.0975,,45.9425,1.08,72.545,12.0725,726.025,333.6,Very Poor,Jodhpur
142.53,374.225,6.5375,13.03,12.2825,,5.46,1.255,14.0625,2.13,2.1375,,46.94,1.195,64.5875,11.7725,726.25,331.0,Very Poor,Jodhpur
158.415,350.0,6.805,15.185,13.5575,,9.84,1.0625,12.4075,2.035,2.035,,47.9475,1.01,65.5675,12.35,726.4,330.3,Very Poor,Jodhpur
148.2175,343.875,7.9625,15.83,14.8875,,9.98,1.2925,12.9475,2.0275,2.1425,,48.8475,0.74,77.6925,11.835,726.575,322.5,Very Poor,Jodhpur
138.1775,318.8,10.105,21.6625,19.66,,8.97,1.695,9.66,2.0475,2.1575,,50.5425,0.585,75.9775,11.49,726.5,314.8,Very Poor,Jodhpur
154.135,301.425,12.805,20.3775,21.165,,9.9275,0.2725,10.0025,2.15,2.1325,,51.525,0.4325,77.1975,11.955,726.2,327.0,Very Poor,Jodhpur
153.3675,286.85,13.435,23.675,23.395,,9.4825,0.5,9.985,2.165,2.21,,51.9925,0.4775,72.8025,18.4175,725.575,326.4,Very Poor,Jodhpur
155.0025,280.6,6.24,21.7575,14.97,,12.85,1.86,12.3,2.0175,2.215,,51.28,0.5775,76.84,50.5025,725.025,327.7,Very Poor,Jodhpur
155.03,280.4,5.34,21.47,13.89,,13.29,1.92,12.65,2.02,2.25,,51.23,0.5,79.09,53.67,725.0,327.7,Very Poor,Jodhpur
159.22,283.1,6.8975,22.8075,16.78,,11.35125,1.485,14.4,2.12,2.1675,,48.025,0.585,74.2225,167.35,724.775,330.9,Very Poor,Jodhpur
143.375,285.225,10.8525,27.8725,23.6275,,8.6675,1.045,20.325,1.965,2.21,,41.905,0.405,112.4825,338.82,725.1,318.8,Very Poor,Jodhpur
176.895,361.575,9.63,24.275,20.7675,,7.955,1.91,23.6125,2.08,2.155,,38.7725,0.505,114.79,364.0675,725.875,344.3,Very Poor,Jodhpur
165.9975,379.425,13.4725,15.6575,19.3275,,8.78,1.5275,35.42,2.0975,2.2125,,37.4425,1.0175,35.6475,355.855,726.8,337.4,Very Poor,Jodhpur
124.9675,328.025,10.585,13.1975,15.7225,,11.18,0.2875,42.2775,2.1775,2.2775,,36.7225,0.975,32.5025,298.4525,727.325,304.8,Very Poor,Jodhpur
86.3,313.5,8.4625,18.0825,16.35,,8.8075,0.425,44.975,2.1125,2.29,,35.535,0.76,57.06,179.45,727.55,263.9,Poor,Jodhpur
92.1675,278.025,6.3875,26.805,18.7625,,7.3775,1.8025,52.2175,2.1325,2.075,,35.8125,0.4925,63.0525,92.2275,727.275,228.7,Poor,Jodhpur
97.0675,262.25,8.3075,25.95,20.585,,7.0525,1.8575,36.2825,2.645,2.785,,38.14,0.295,42.1975,25.5,727.1,224.3,Poor,Jodhpur
113.6225,277.85,10.8825,23.31,21.2575,,7.8,0.845,32.5975,2.945,3.2225,,40.1125,0.605,43.1375,10.8125,726.65,279.0,Poor,Jodhpur
101.175,264.05,9.6575,22.18,19.69,,9.445,0.59,32.375,2.87,3.21,,40.9275,0.98,50.1025,12.395,726.325,237.9,Poor,Jodhpur
104.9525,256.55,9.2475,14.17,15.17,,8.8375,1.135,31.34,2.8475,3.1575,,42.6575,1.075,51.7375,11.685,726.15,250.3,Poor,Jodhpur
94.7525,230.375,13.7775,14.4525,18.9375,,8.9525,0.6775,30.345,2.8875,3.19,,43.3775,0.905,52.045,11.7425,726.0,216.7,Poor,Jodhpur
98.3125,193.0,10.475,17.9325,17.9175,,10.65,0.66,17.6475,2.8625,3.2125,,44.17,1.085,60.0375,11.815,725.7,228.4,Poor,Jodhpur
101.93,185.875,7.2125,16.72,13.7275,,10.78,0.6425,25.5325,2.8525,3.09,,45.46,1.2,64.8325,11.9,725.525,240.4,Poor,Jodhpur
127.14,240.125,8.135,13.54,13.87,,10.145,1.5525,38.0125,2.875,3.1775,,46.775,1.0075,72.0475,12.035,725.575,306.4,Very Poor,Jodhpur
142.48,274.875,10.4025,12.8375,15.395,,8.65,1.5125,27.3125,2.96,3.225,,47.315,1.04,71.88,12.0675,725.8,318.1,Very Poor,Jodhpur
131.7075,271.15,9.74,12.685,14.7825,,8.8,0.745,23.4675,2.795,3.1,,47.525,0.955,72.655,12.2125,726.125,309.9,Very Poor,Jodhpur
114.8725,258.525,8.925,14.2875,14.9725,,10.8125,0.8025,30.3925,2.8725,3.215,,48.28,0.8375,79.0925,12.01,726.125,283.1,Poor,Jodhpur
113.6575,248.225,10.12,17.01,17.2825,,8.745,1.4625,24.1375,2.9425,3.2,,50.2925,0.69,84.675,11.9475,726.2,279.1,Poor,Jodhpur
121.21,243.15,14.495,24.3475,24.695,,9.8925,0.7775,18.115,2.955,3.15,,53.8775,0.535,86.01,12.1175,726.175,301.9,Very Poor,Jodhpur
126.5075,232.75,15.8275,21.55,24.2975,,9.1975,0.9175,7.9225,3.03,3.295,,56.0925,0.6425,83.825,12.32,726.05,306.0,Very Poor,Jodhpur
116.94,212.975,8.6175,22.3525,18.43,,12.4425,1.19,12.005,2.9325,3.1225,,57.435,0.67,84.7925,18.5775,725.525,289.9,Poor,Jodhpur
124.6025,228.95,13.6375,24.325,23.9975,,10.765,1.3425,9.4,2.96,3.17,,57.8725,0.72,82.5225,64.5975,724.925,304.5,Very Poor,Jodhpur
112.6225,210.075,14.4075,25.7125,25.3425,,10.2525,1.125,9.845,3.045,3.2225,,54.605,0.88,81.7625,167.69,724.525,275.7,Poor,Jodhpur
