PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
92.75,156.75,,,,,,,,0.35,,,,,,,,210.1,Poor,Singrauli
57.0,100.5,,,,,,,,0.2,,,,,,,,101.3,Moderate,Singrauli
59.75,103.0,,,,,,,,0.2,,,,,,,,103.0,Moderate,Singrauli
57.75,97.5,,,,,,,,0.2,,,,,,,,97.6,Satisfactory,Singrauli
56.25,105.0,,,,,,,,0.225,,,,,,,,104.3,Moderate,Singrauli
72.25,137.75,,,,,,,,0.6,,,,,,,,141.4,Moderate,Singrauli
129.25,219.0,,,,,,,,1.05,,,,,,,,308.0,Very Poor,Singrauli
218.75,347.25,,,,,,,,1.775,,,,,,,,376.2,Very Poor,Singrauli
232.0,419.5,,,,,,,,1.725,,,,,,,,387.0,Very Poor,Singrauli
238.0,448.0,,,,,,,,1.825,,,,,,,,411.5,Severe,Singrauli
174.75,332.0,,,,,,,,1.4,,,,,,,,342.7,Very Poor,Singrauli
155.25,288.75,,,,,,,,1.575,,,,,,,,327.8,Very Poor,Singrauli
180.75,325.5,,,,,,,,1.525,,,,,,,,347.3,Very Poor,Singrauli
177.0,355.25,,,,,,,,1.75,,,,,,,,344.4,Very Poor,Singrauli
160.25,320.5,,,,,,,,1.525,,,,,,,,331.7,Very Poor,Singrauli
166.0,308.75,,,,,,,,1.675,,,,,,,,336.0,Very Poor,Singrauli
174.75,291.0,,,,,,,,2.15,,,,,,,,342.7,Very Poor,Singrauli
176.5,264.75,,,,,,,,1.75,,,,,,,,344.0,Very Poor,Singrauli
156.5,237.25,,,,,,,,1.775,,,,,,,,328.8,Very Poor,Singrauli
255.5,347.75,,,,,,,,2.0,,,,,,,,403.2,Severe,Singrauli
454.25,519.5,,,,,,,,1.325,,,,,,,,481.9,Severe,Singrauli
153.25,252.0,,,,,,,,1.375,,,,,,,,326.3,Very Poor,Singrauli
159.25,353.75,,,,,,,,1.45,,,,,,,,330.9,Very Poor,Singrauli
115.5,268.0,,,,,,,,1.05,,,,,,,,285.2,Poor,Singrauli
