PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
121.7475,184.99,5.295,73.08,42.43,43.355,8.855,1.385,42.465,1.9775,2.295,,56.8275,1.985,65.025,292.025,734.0325,302.3,Very Poor,Jaipur
96.9225,178.4425,5.885,76.115,44.4875,46.0225,4.5975,1.3975,42.65,1.7275,2.0325,,56.3875,1.87,64.0375,354.05,733.6625,223.8,Poor,Jaipur
102.98,171.31,4.065,69.15,39.39,41.8,4.555,1.325,49.68,1.07,1.97,,56.085,1.38,66.81,390.4,732.975,243.8,Poor,Jaipur
118.84,160.14,4.35,69.77,40.515,40.55,2.065,1.16,49.205,0.865,2.335,,57.015,1.365,80.02,270.15,732.33,296.2,Poor,Jaipur
99.35,157.955,4.1775,71.73,40.96,41.33,7.7525,1.27,49.865,1.1225,1.8525,,56.9425,1.2325,58.525,242.975,731.6075,231.9,Poor,Jaipur
91.2,152.635,4.29,69.7475,39.885,41.685,8.3375,1.2625,51.0725,1.0825,1.68,,57.9325,1.0425,67.3075,204.975,731.43,205.0,Poor,Jaipur
95.4225,163.855,4.5125,75.7075,43.175,44.705,10.9925,1.36,45.0025,0.825,1.825,,60.125,1.0775,69.9575,121.2,731.4175,218.9,Poor,Jaipur
58.42,183.995,7.3475,85.85,50.7475,50.425,12.34,1.6525,33.51,1.1075,1.83,,63.0375,0.9475,75.97,45.15,731.4675,156.4,Moderate,Jaipur
157.67,188.6875,12.3125,103.4775,63.935,65.1075,14.8675,1.8075,23.7325,3.115,4.86,,66.565,1.0875,62.1175,17.925,731.5725,329.7,Very Poor,Jaipur
106.85,199.94,16.1275,107.94,69.33,72.495,18.33,2.1075,18.315,3.005,4.7425,,68.845,1.1625,58.0725,19.2,731.595,256.6,Poor,Jaipur
119.21,191.535,10.225,95.7,57.3925,62.715,14.055,1.5075,25.995,4.45,6.985,,69.995,1.3525,56.405,20.625,731.79,297.4,Poor,Jaipur
101.96,186.7125,4.855,76.0525,43.6325,46.75,12.6375,0.715,35.6175,3.395,6.6275,,70.2875,1.485,64.105,19.2,731.9625,240.5,Poor,Jaipur
85.625,184.075,4.22,64.485,36.695,38.61,11.03,0.885,38.635,3.255,6.45,,71.175,1.55,77.69,19.55,732.04,185.6,Moderate,Jaipur
111.48,174.8775,1.8075,46.33,25.6575,26.1,5.585,0.825,44.135,3.7225,6.5925,,73.675,1.4825,72.9225,18.25,731.9025,271.9,Poor,Jaipur
104.97,157.83,1.83,45.82,25.405,25.21,7.275,0.84,42.685,1.025,1.995,,75.065,1.09,65.635,19.1,731.515,250.4,Poor,Jaipur
119.08,156.9925,1.6225,40.5075,22.4625,21.8025,7.1825,0.8,40.2125,1.05,2.0525,,78.4675,1.1425,56.6,18.775,731.115,297.0,Poor,Jaipur
117.52,157.915,1.97,39.32,22.1175,21.3325,9.73,0.8725,38.89,1.005,1.715,,81.705,1.14,61.21,20.1,730.7425,291.8,Poor,Jaipur
95.64,151.765,2.3275,40.2675,22.9075,22.15,8.005,0.94,39.68,0.895,2.0975,,85.3775,1.1125,71.34,20.375,730.6725,219.6,Poor,Jaipur
101.9275,163.895,2.235,40.5,22.9525,22.035,8.0975,0.8575,40.1475,0.9725,2.1325,,86.9875,1.0125,69.32,20.0,730.56,240.4,Poor,Jaipur
125.405,169.2825,2.565,47.5025,26.8725,25.9825,6.78,0.81,35.7125,1.005,1.975,,89.285,0.955,61.45,19.15,730.51,305.1,Very Poor,Jaipur
