PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,12.0925,10.2725,22.365,,179.62,0.4325,0.01,1.1675,5.34,,56.41,0.58,160.81,695.37,714.165,133.9,Moderate,Hyderabad
,,2.8025,8.855,11.6575,,134.72,0.415,0.0125,1.38,5.34,,56.41,0.58,160.81,695.37,714.3675,119.1,Moderate,Hyderabad
,,1.38,10.515,10.5675,,22.6675,0.4325,0.02,0.2925,3.945,,61.79,1.2175,78.4075,207.0475,711.8775,28.3,Good,Hyderabad
,,4.185,32.5925,36.775,,0.7775,0.815,0.02,1.0375,9.045,,66.72,1.3425,59.9875,36.4625,711.1075,40.8,Good,Hyderabad
,,11.2875,36.9425,48.23,,1.0725,1.565,0.021935483,3.42,20.65,,69.595,1.4375,59.07,36.9775,711.58,78.7,Satisfactory,Hyderabad
,,18.9125,38.4575,57.37,,1.37,1.8675,0.027096774,3.815,19.7975,,72.175,0.76,58.0475,36.1725,711.8825,93.5,Satisfactory,Hyderabad
,,15.7125,36.2025,51.915,,1.47,1.61,0.032258064,4.0925,22.545,,74.2325,0.725,61.97,37.025,711.7975,80.9,Satisfactory,Hyderabad
,,19.8225,33.64,53.46,,1.3825,1.4125,0.037419356,3.625,19.36,,75.9575,0.67,65.29,37.4325,711.765,71.2,Satisfactory,Hyderabad
,,51.33,38.3725,89.7025,,2.69,1.7125,0.042580646,4.805,92.4125,,78.2825,0.6,52.9925,38.635,711.37,85.9,Satisfactory,Hyderabad
,,31.595,26.7425,58.3375,,1.88,0.7175,0.047741935,3.2075,44.1025,,79.4775,0.33,38.83,38.875,710.875,35.9,Good,Hyderabad
,,101.26,68.15,169.41,,3.06,0.8025,0.05096774,3.43,55.5875,,80.7225,0.33,38.83,38.77,710.6225,85.5,Satisfactory,Hyderabad
,,170.19,91.9225,262.1075,,4.57,1.055,0.06,3.9875,51.8175,,81.64,0.33,38.83,38.715,710.325,112.8,Moderate,Hyderabad
,,122.4275,28.6275,151.0575,,3.7425,1.495,0.07,3.9975,32.8675,,81.935,0.51,155.175,38.5775,710.2475,75.3,Satisfactory,Hyderabad
,,67.245,22.4625,89.705,,2.515,0.98,0.07,3.645,17.7925,,82.2625,0.3025,294.83,38.6475,710.2625,49.0,Good,Hyderabad
,,96.9475,22.8725,119.8225,,3.035,1.01,0.06357143,3.2475,24.04,,83.265,0.42,100.7025,39.4125,710.4425,51.5,Satisfactory,Hyderabad
,,105.75,26.2975,132.0475,,3.34,1.1075,0.046428572,4.4475,34.11,,84.2925,0.435,290.31,47.5175,710.9625,56.3,Satisfactory,Hyderabad
,,35.02,24.75,59.77,,1.505,0.61,0.029285714,2.8825,13.865,,80.73,0.6325,195.48,81.845,711.525,30.9,Good,Hyderabad
,,6.035,20.2125,26.25,,0.7425,0.2775,0.015714286,2.0025,7.3525,,70.6625,0.65,194.495,115.435,712.1125,25.3,Good,Hyderabad
,,14.375,23.145,37.52,,0.6175,0.235,0.02,1.4475,5.31,,64.675,0.8375,90.5975,461.8725,712.7925,28.9,Good,Hyderabad
,,25.7225,16.63,32.21,,0.34,0.1475,0.0325,1.26,5.5225,,64.2125,1.7625,55.415,330.66,712.9825,20.8,Good,Hyderabad
,,59.585,19.03,78.6125,,1.8525,0.2175,0.0225,0.995,5.8,,58.355,1.5,56.615,693.535,712.1175,23.8,Good,Hyderabad
,,2.3125,5.025,6.91,,1.185,0.21,0.03,0.9025,9.745,,55.4425,2.2225,51.1775,772.88,711.37,10.5,Good,Hyderabad
,,96.3475,3.2825,98.295,,1.2775,9.825,0.03,0.9025,6.1625,,54.4525,2.005,49.4325,580.5,710.4825,197.8,Moderate,Hyderabad
,,0.6675,5.7775,6.445,,90.6575,0.235,0.03,0.78,48.2225,,54.6625,2.12,47.8625,452.3,709.7875,104.5,Moderate,Hyderabad
,,0.8875,5.8475,6.735,,1.75,0.255,0.03,0.7075,21.5425,,54.4825,2.415,54.805,382.9275,709.5725,12.8,Good,Hyderabad
,,1.1575,9.2775,10.4375,,2.205,0.3025,0.025,0.88,19.8375,,54.84,2.1975,51.7075,159.435,709.18,15.1,Good,Hyderabad
,,0.545,13.2825,13.825,,2.4675,0.3575,0.02,1.205,8.8475,,59.2725,1.77,59.3675,55.33,709.1625,17.9,Good,Hyderabad
,,3.79,26.3775,30.1625,,2.0575,0.96,0.02,2.075,9.195,,66.8725,0.845,89.85,39.495,709.4375,48.0,Good,Hyderabad
,,3.8025,24.4325,28.2375,,1.645,1.005,0.02,2.9575,9.5225,,72.1475,0.4325,51.55,38.9625,709.86,51.2,Satisfactory,Hyderabad
,,1.595,21.8425,23.44,,1.3025,0.9525,0.019318182,2.75,8.01,,73.3625,0.355,82.535,37.51,710.225,47.6,Good,Hyderabad
,,1.53,20.6975,22.225,,1.29,0.865,0.0175,2.7275,7.3175,,74.3575,0.34,126.8275,36.24,710.29,43.2,Good,Hyderabad
,,6.0725,24.92,30.995,,1.13,0.84,0.015681818,2.4375,6.6125,,74.93,0.315,120.1625,37.06,710.3175,42.0,Good,Hyderabad
,,2.6875,23.9625,26.6475,,0.99,0.71,0.013863636,2.965,8.1975,,76.8425,0.38,101.45,38.3725,709.995,35.5,Good,Hyderabad
,,2.7175,20.3075,23.025,,0.785,0.6,0.012045454,2.9175,7.945,,78.045,0.2675,112.8925,39.34,709.595,30.0,Good,Hyderabad
,,0.45,11.98,12.325,,0.6325,0.3875,0.0103409095,1.79,5.2025,,78.9525,0.2775,129.8575,39.735,709.275,19.4,Good,Hyderabad
,,0.705,11.5925,12.0225,,0.4825,0.38,0.0225,0.9,2.9975,,79.9025,0.3,89.0725,39.53,708.99,19.0,Good,Hyderabad
,,0.5475,13.52,14.0675,,0.47,0.3675,0.07,1.2625,7.2575,,80.82,0.29,31.88,39.2775,708.5775,18.4,Good,Hyderabad
,,0.94,11.7425,12.6825,,0.4425,0.325,0.07,1.295,7.945,,80.6425,0.795,149.6475,39.235,708.5375,16.2,Good,Hyderabad
,,3.6075,15.91,19.515,,0.3225,0.3675,0.06357143,0.8925,3.13,,79.76,0.645,175.12,39.155,708.6875,19.9,Good,Hyderabad
,,5.065,16.505,21.5675,,0.5775,0.445,0.046428572,1.095,5.43,,79.4175,1.1825,190.545,53.8225,709.1775,22.2,Good,Hyderabad
,,5.58,13.5775,19.155,,0.66,0.495,0.029285714,1.2375,5.2125,,77.8575,1.395,222.1175,104.7375,709.9575,24.8,Good,Hyderabad
,,3.2675,8.705,11.9725,,0.4425,0.41,0.0132142855,0.97,2.605,,75.145,2.1625,231.56,231.275,710.7525,20.5,Good,Hyderabad
,,2.055,6.515,8.5725,,0.4275,0.3625,0.0125,0.54,1.7875,,70.87,1.78,236.31,445.825,711.385,18.1,Good,Hyderabad
,,2.335,8.07,10.405,,0.4325,0.275,0.02,0.4075,1.8475,,65.22,2.21,193.7225,470.7875,711.435,13.8,Good,Hyderabad
,,1.17,4.395,5.5675,,0.595,0.23,0.025,0.6125,6.355,,61.4975,2.875,72.8075,788.34,710.505,11.5,Good,Hyderabad
,,1.1925,3.83,5.025,,0.69,0.1775,0.03,0.5125,6.16,,54.945,2.2925,109.2375,769.315,709.74,8.9,Good,Hyderabad
,,94.875,3.4475,96.435,,0.855,9.7125,0.0325,0.6425,10.8525,,53.9925,1.3975,90.5825,566.7875,708.7025,196.4,Moderate,Hyderabad
,,0.6925,5.45,6.145,,90.0725,0.31,0.0375,1.0125,7.4225,,56.5925,2.105,99.1775,373.7475,708.0975,104.3,Moderate,Hyderabad
,,1.2975,7.0175,7.66,,0.9175,0.2725,0.03,0.9125,7.7325,,61.145,2.3775,29.5225,332.125,707.7025,13.6,Good,Hyderabad
,,1.1375,8.4575,9.595,,1.1725,0.3725,0.03,1.33,12.75,,63.93,2.805,26.0125,174.665,707.5325,18.6,Good,Hyderabad
,,0.65,10.4175,10.765,,1.245,0.3825,0.0275,2.4075,9.5125,,66.0625,2.1575,48.815,68.58,707.5425,19.1,Good,Hyderabad
,,0.91,13.41,14.315,,1.675,0.445,0.0175,2.4475,11.72,,70.0775,2.11,49.205,39.355,707.7975,22.2,Good,Hyderabad
,,0.6125,17.165,17.7775,,2.9375,0.5925,0.01,7.0375,27.8075,,71.29,1.065,53.975,38.515,708.2225,29.6,Good,Hyderabad
,,2.4325,25.0025,27.4375,,3.0975,0.7675,0.01,3.2625,8.0725,,72.3125,0.545,61.3775,37.945,708.4575,38.4,Good,Hyderabad
,,3.9925,28.81,32.8025,,3.1075,0.795,0.01,2.2375,18.4875,,71.025,0.5525,62.365,37.7775,708.6525,39.8,Good,Hyderabad
