PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
95.75,169.75,1.225,26.375,15.0,23.825,30.375,0.675,133.25,,,26.15,42.25,1.175,164.0,398.25,707.0,220.0,Poor,bhopal
96.5,173.75,1.5,27.975,16.125,23.475,30.575,0.86,127.425,,,24.975,44.75,1.025,158.25,158.0,707.0,222.4,Poor,bhopal
107.5,201.5,7.35,78.45,47.7,23.775,27.65,1.7625,70.425,,,23.5,50.25,0.35,148.0,14.75,707.0,258.8,Poor,bhopal
129.25,279.25,31.125,139.275,99.375,30.5,24.8,3.3,15.975,,,21.875,55.75,0.3,139.0,8.0,707.0,308.0,Very Poor,bhopal
145.75,328.0,75.3,142.325,136.925,32.75,22.4,3.695,10.25,,,20.525,60.75,0.35,146.75,12.25,707.0,320.6,Very Poor,bhopal
176.75,379.25,34.85,130.775,97.9,31.8,23.05,3.34,11.0,,,20.125,62.75,0.45,147.0,13.0,707.0,344.2,Very Poor,bhopal
185.0,379.0,31.875,128.075,94.0,32.475,46.025,3.1575,10.575,,,19.5,65.25,0.575,153.0,12.5,707.0,350.5,Very Poor,bhopal
196.0,403.0,9.25,97.225,59.25,33.65,60.425,2.325,21.475,,,18.725,67.0,0.525,174.0,9.25,707.0,366.6,Very Poor,bhopal
196.0,378.25,4.85,57.675,34.625,32.825,40.025,1.3325,51.175,,,18.1,70.5,0.575,175.25,10.75,707.0,358.9,Very Poor,bhopal
168.25,285.25,3.825,41.85,25.375,32.025,31.775,1.015,77.7,,,17.975,70.5,0.85,167.75,11.5,707.0,337.7,Very Poor,bhopal
