PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
69.5,119.75,6.05,18.325,14.625,12.8,18.85,3.69,42.275,2.925,4.725,27.15,65.0,0.75,147.5,355.75,754.0,132.4,Moderate,vishakhapattanam
74.0,125.0,3.825,10.85,8.85,13.5,18.9,0.43,46.65,2.0,3.75,26.1,66.5,1.55,113.5,390.75,753.0,147.2,Moderate,vishakhapattanam
62.0,100.0,8.95,12.25,14.65,11.6,19.275,0.3675,42.375,1.9,3.3,26.025,67.75,1.95,115.0,420.75,752.0,107.6,Moderate,vishakhapattanam
70.5,100.0,3.95,10.9,9.0,12.7,17.7,0.39,41.25,1.775,3.65,26.1,68.0,1.9,117.75,368.0,751.5,135.6,Moderate,vishakhapattanam
61.75,104.25,3.475,10.0,8.175,12.825,16.9,0.345,40.45,2.275,2.9,26.125,66.75,1.65,127.0,306.25,751.0,106.8,Moderate,vishakhapattanam
58.0,104.5,3.025,10.475,8.025,12.425,16.05,0.36,38.175,1.55,2.0,25.125,69.25,1.625,124.0,175.5,751.0,104.0,Moderate,vishakhapattanam
56.75,94.0,2.625,12.85,8.95,12.475,16.125,0.385,35.375,1.55,2.325,23.85,73.0,1.25,118.5,66.0,751.0,94.7,Satisfactory,vishakhapattanam
54.5,98.25,3.825,20.075,13.8,11.975,17.325,0.4675,37.775,1.8,4.875,22.9,74.25,0.625,110.25,10.5,751.0,98.3,Satisfactory,vishakhapattanam
61.0,110.25,4.2,26.025,17.25,11.075,20.4,0.51,36.35,2.2,5.7,22.775,74.25,0.4,114.75,8.0,752.0,107.8,Moderate,vishakhapattanam
68.25,108.0,4.375,28.875,18.9,11.25,22.85,0.5525,36.275,2.425,6.975,22.775,74.25,0.525,117.0,8.0,752.0,128.2,Moderate,vishakhapattanam
73.25,111.75,5.1,32.625,21.5,10.275,26.15,0.6325,36.15,2.625,6.95,22.55,74.75,0.3,117.75,8.0,752.75,144.7,Moderate,vishakhapattanam
