PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
39.0,83.25,2.3,10.575,7.475,18.425,10.475,0.47,28.32,,,,67.75,4.0,265.0,364.75,,83.6,Satisfactory,Chennai
43.5,85.5,1.6,11.025,7.15,15.375,10.275,0.495,29.0075,,,,68.5,3.65,262.0,242.5,,85.8,Satisfactory,Chennai
47.25,91.25,1.825,11.975,7.825,13.875,10.7,0.6,28.4225,,0.225,,68.0,3.525,264.5,106.25,,91.4,Satisfactory,Chennai
51.5,102.25,1.975,11.625,7.775,9.125,7.925,0.63,17.8875,,0.175,,70.5,2.775,263.0,24.5,,102.5,Moderate,Chennai
75.75,127.0,0.975,21.95,12.5,6.8,7.95,0.7825,20.63,,0.225,,71.75,1.825,269.5,14.75,,153.0,Moderate,Chennai
88.0,130.5,1.525,20.525,12.15,7.1,8.1,0.7675,27.2475,,0.3,,71.0,2.425,265.75,14.0,,193.4,Moderate,Chennai
80.25,116.25,1.325,15.275,9.2,7.75,8.175,0.705,19.795,,0.1,,71.75,2.25,262.75,14.0,,167.8,Moderate,Chennai
72.75,122.75,0.625,18.975,10.325,18.1,10.475,0.6825,31.41,,0.1,,69.25,1.65,261.25,14.0,,143.1,Moderate,Chennai
66.75,123.5,2.45,23.3,14.325,21.825,11.525,0.7175,20.825,,0.15,,68.0,1.275,263.0,14.0,,123.3,Moderate,Chennai
68.0,126.5,1.725,20.3,12.2,18.675,13.5,0.67,19.4525,,0.23,,68.0,1.425,259.75,14.0,,127.4,Moderate,Chennai
65.5,121.5,1.5,24.3,14.125,17.875,15.4,0.605,19.4525,0.4,0.37,,68.5,1.625,260.75,14.0,,119.2,Moderate,Chennai
65.0,115.75,2.125,17.55,11.05,10.075,11.65,0.6,13.28,0.175,0.1,,72.0,1.725,258.75,14.0,,117.5,Moderate,Chennai
59.75,104.25,0.975,15.475,9.025,7.375,9.375,0.66,13.18,0.1,0.1,,72.75,1.15,263.75,14.25,,103.8,Moderate,Chennai
62.0,103.75,1.45,13.6,8.425,9.7,9.35,0.64,12.5925,0.10009615,0.10882353,,72.75,1.1,286.25,14.75,,107.6,Moderate,Chennai
70.0,101.25,1.475,14.45,8.875,10.025,8.775,0.7475,11.7575,0.10057692,0.13235295,,72.25,0.875,288.0,14.0,,134.0,Moderate,Chennai
83.5,123.25,0.925,12.625,7.4,20.4,11.025,0.695,21.66,0.101089746,0.15588236,,70.75,0.825,298.25,14.5,,178.6,Moderate,Chennai
52.25,105.75,2.975,12.275,8.9,24.925,9.575,0.685,17.8875,0.10160256,0.17941177,,70.25,0.775,309.75,50.75,,104.8,Moderate,Chennai
55.25,127.0,2.45,12.725,8.75,23.05,8.7,0.72,19.0125,0.102115385,0.20294118,,69.0,1.2,292.25,170.5,,118.8,Moderate,Chennai
61.5,111.5,2.25,11.975,8.2,23.975,8.35,0.7475,20.4325,0.10262821,0.22647059,,68.75,1.3,287.75,255.5,,108.6,Moderate,Chennai
59.0,110.25,2.825,12.175,8.75,13.55,7.575,0.68,12.0025,0.10301282,0.24117647,,71.25,1.825,285.5,447.25,,107.8,Moderate,Chennai
57.0,118.0,2.025,13.4,8.725,9.775,7.525,0.63,12.9825,,,,72.5,2.075,277.25,396.75,,112.9,Moderate,Chennai
58.25,132.0,2.375,17.025,10.975,12.625,7.675,0.58,19.555,,0.2,,72.0,2.375,273.25,354.75,,122.1,Moderate,Chennai
52.25,107.75,1.825,14.7,9.325,14.2,7.8,0.545,15.8775,,0.1,,71.25,3.025,265.25,413.25,,106.1,Moderate,Chennai
46.25,93.25,0.925,9.2,5.1,24.975,12.125,0.495,24.5,,0.1,,69.5,3.05,265.5,432.75,,93.4,Satisfactory,Chennai
34.75,81.5,2.35,8.925,6.675,28.75,12.2,0.5525,24.255,,0.13846155,,67.25,3.075,267.25,286.0,,81.9,Satisfactory,Chennai
36.5,90.5,1.425,11.65,7.325,23.9,11.05,0.555,24.745,,0.2,,68.0,2.95,263.5,134.0,,90.7,Satisfactory,Chennai
47.25,97.75,1.55,17.425,10.5,22.875,10.8,0.6,22.9325,,0.26153848,,68.25,2.65,262.75,65.75,,97.8,Satisfactory,Chennai
