PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,23.75,67.25,55.0,349.0,4.1,,,,,,,,,,,87.5,Satisfactory,Delhi NCR
,,24.5,67.0,55.0,348.75,4.1,,,,,,,,,,,87.4,Satisfactory,Delhi NCR
,,28.0,75.25,62.5,345.0,3.85,,,,,,,,,,,94.2,Satisfactory,Delhi NCR
,,40.5,104.25,88.25,325.25,4.65,,,,,,,,,,,125.0,Moderate,Delhi NCR
,,37.75,97.5,82.5,330.75,4.15,,,,,,,,,,,118.3,Moderate,Delhi NCR
,,38.25,99.0,83.5,330.5,4.2,,,,,,,,,,,119.8,Moderate,Delhi NCR
,,43.0,117.0,97.0,321.25,4.3,,,,,,,,,,,137.6,Moderate,Delhi NCR
,,46.25,124.0,103.5,318.5,4.75,,,,,,,,,,,144.6,Moderate,Delhi NCR
,,41.0,121.0,97.5,322.5,5.025,,,,,,,,,,,141.6,Moderate,Delhi NCR
,,38.25,119.75,95.0,324.5,4.8,,,,,,,,,,,140.4,Moderate,Delhi NCR
,,37.0,122.25,95.0,324.0,4.925,,,,,,,,,,,142.8,Moderate,Delhi NCR
,,32.75,111.0,85.5,331.75,5.075,,,,,,,,,,,131.7,Moderate,Delhi NCR
,,43.75,139.25,109.5,310.5,5.4,,,,,,,,,,,159.7,Moderate,Delhi NCR
,,32.0,111.0,85.25,330.25,3.875,,,,,,,,,,,131.7,Moderate,Delhi NCR
,,31.0,103.0,80.0,333.75,3.25,,,,,,,,,,,123.8,Moderate,Delhi NCR
,,33.25,100.25,80.75,336.0,4.0,,,,,,,,,,,121.0,Moderate,Delhi NCR
,,47.5,128.25,106.75,318.0,3.9,,,,,,,,,,,148.8,Moderate,Delhi NCR
,,38.25,110.75,90.0,333.25,3.95,,,,,,,,,,,131.4,Moderate,Delhi NCR
,,41.0,110.75,92.25,335.25,3.425,,,,,,,,,,,131.4,Moderate,Delhi NCR
,,50.75,120.0,105.0,327.75,4.65,,,,,,,,,,,140.6,Moderate,Delhi NCR
,,47.0,109.5,96.5,333.75,4.25,,,,,,,,,,,130.2,Moderate,Delhi NCR
,,39.75,94.75,82.75,344.0,4.5,,,,,,,,,,,115.6,Moderate,Delhi NCR
,,37.75,90.0,78.5,348.75,4.375,,,,,,,,,,,110.9,Moderate,Delhi NCR
,,45.25,101.0,90.5,339.75,4.45,,,,,,,,,,,121.8,Moderate,Delhi NCR
,,44.25,100.0,89.0,343.25,4.0,,,,,,,,,,,120.8,Moderate,Delhi NCR
,,42.0,95.5,84.75,344.25,4.325,,,,,,,,,,,116.3,Moderate,Delhi NCR
,,40.75,93.75,82.75,347.75,4.15,,,,,,,,,,,114.6,Moderate,Delhi NCR
,,50.5,108.25,98.75,344.25,4.7,,,,,,,,,,,129.0,Moderate,Delhi NCR
,,54.25,118.0,107.0,340.75,4.375,,,,,,,,,,,138.6,Moderate,Delhi NCR
,,49.25,116.75,102.0,345.25,4.6,,,,,,,,,,,137.4,Moderate,Delhi NCR
,,58.5,148.25,126.0,325.75,5.075,,,,,,,,,,,168.6,Moderate,Delhi NCR
,,45.25,137.75,110.0,337.5,4.525,,,,,,,,,,,158.2,Moderate,Delhi NCR
,,44.25,120.25,100.0,342.75,4.55,,,,,,,,,,,140.8,Moderate,Delhi NCR
,,43.75,126.25,103.0,341.75,4.425,,,,,,,,,,,146.8,Moderate,Delhi NCR
,,37.25,108.25,87.75,345.75,4.375,,,,,,,,,,,129.0,Moderate,Delhi NCR
,,41.25,125.5,100.25,341.0,5.4,,,,,,,,,,,146.0,Moderate,Delhi NCR
,,45.5,133.75,108.0,336.75,5.25,,,,,,,,,,,154.2,Moderate,Delhi NCR
,,51.25,141.75,117.0,329.0,4.75,,,,,,,,,,,162.1,Moderate,Delhi NCR
,,50.5,137.25,114.0,331.75,4.225,,,,,,,,,,,157.7,Moderate,Delhi NCR
,,52.25,138.75,116.5,330.0,4.55,,,,,,,,,,,159.2,Moderate,Delhi NCR
,,59.25,148.25,127.0,322.75,4.175,,,,,,,,,,,168.6,Moderate,Delhi NCR
,,77.75,176.0,157.25,299.0,4.45,,,,,,,,,,,196.0,Moderate,Delhi NCR
,,78.25,173.0,155.5,299.5,4.225,,,,,,,,,,,193.1,Moderate,Delhi NCR
,,58.75,135.25,119.5,327.0,3.95,,,,,,,,,,,155.7,Moderate,Delhi NCR
,,70.75,145.0,134.25,316.0,3.525,,,,,,,,,,,165.4,Moderate,Delhi NCR
,,68.75,148.25,134.75,317.75,4.4,,,,,,,,,,,168.6,Moderate,Delhi NCR
,,37.25,99.5,83.5,347.0,4.2,,,,,,,,,,,120.3,Moderate,Delhi NCR
,,29.75,87.5,70.75,347.0,4.375,,,,,,,,,,,108.4,Moderate,Delhi NCR
,,29.75,86.5,70.5,346.55,4.225,,,,,,,,,,,107.4,Moderate,Delhi NCR
,,31.5,89.25,73.25,345.35,4.925,,,,,,,,,,,110.2,Moderate,Delhi NCR
,,39.0,102.0,86.25,344.475,4.8,,,,,,,,,,,122.8,Moderate,Delhi NCR
,,36.25,98.5,82.25,349.75,4.7,,,,,,,,,,,119.3,Moderate,Delhi NCR
,,41.5,109.5,92.0,340.25,3.975,,,,,,,,,,,130.2,Moderate,Delhi NCR
,,43.75,112.5,95.25,341.25,4.725,,,,,,,,,,,133.2,Moderate,Delhi NCR
,,46.25,115.75,99.25,340.75,4.45,,27.0,,,,,,,,,136.4,Moderate,Delhi NCR
,,49.0,134.25,111.5,324.5,3.9,,30.0,,,,,,,,,154.7,Moderate,Delhi NCR
,,46.5,137.75,111.0,326.5,4.375,,30.0,,,,,,,,,158.2,Moderate,Delhi NCR
,,41.75,147.75,112.5,324.75,3.325,,27.0,,,,,,,,,168.1,Moderate,Delhi NCR
,,39.75,145.75,110.0,324.75,3.6,,22.0,,,,,,,,,166.1,Moderate,Delhi NCR
,,45.0,151.0,116.75,319.5,3.95,,25.5,,,,,,,,,171.3,Moderate,Delhi NCR
,,49.5,151.75,121.0,316.75,3.65,,44.0,,,,,,,,,172.0,Moderate,Delhi NCR
,,63.0,169.0,141.0,305.0,3.975,,51.5,,,,,,,,,189.1,Moderate,Delhi NCR
,,76.75,184.25,160.25,292.25,3.675,,87.0,,,,,,,,,205.2,Poor,Delhi NCR
,,54.75,146.0,122.5,320.5,3.15,,55.75,,,,,,,,,166.3,Moderate,Delhi NCR
,,48.25,133.75,110.0,330.0,2.675,,63.5,,,,,,,,,154.2,Moderate,Delhi NCR
,,44.0,124.5,102.0,337.25,3.05,,80.75,,,,,,,,,145.1,Moderate,Delhi NCR
,,43.5,120.0,99.25,340.5,2.75,,115.0,,,,,,,,,140.6,Moderate,Delhi NCR
,,49.75,131.75,110.25,331.0,4.1,,90.5,,,,,,,,,152.2,Moderate,Delhi NCR
,,38.75,110.0,90.0,357.75,3.6,25.0,125.0,,,,,,,,,347.6,Very Poor,Delhi NCR
,,45.25,116.5,98.75,351.75,4.45,17.0,138.0,,,,,,,,,300.0,Poor,Delhi NCR
,,37.75,109.0,88.75,360.25,4.325,17.047562,137.7125,,,,,,,,,301.3,Very Poor,Delhi NCR
,,30.0,92.25,73.5,371.5,4.3,17.285366,133.975,,,,,,,,,302.7,Very Poor,Delhi NCR
,,30.25,89.75,72.25,372.25,3.875,17.539024,129.375,,,,,,,,,304.1,Very Poor,Delhi NCR
,,28.25,83.5,67.5,376.5,4.4,17.792683,124.775,,,,,,,,,305.6,Very Poor,Delhi NCR
,,29.75,87.0,70.5,372.75,4.125,18.04634,120.175,,,,,,,,,307.1,Very Poor,Delhi NCR
,,38.25,103.0,85.75,360.25,4.625,18.3,104.1125,,,,,,,,,308.6,Very Poor,Delhi NCR
,,41.0,104.0,88.5,358.75,4.15,18.490244,51.0,,,,,,,,,309.7,Very Poor,Delhi NCR
,,51.75,125.5,108.75,344.5,4.025,,48.0,,,,,,,,,146.0,Moderate,Delhi NCR
,,52.75,134.75,114.5,339.25,4.1,,29.75,,,,,,,,,155.2,Moderate,Delhi NCR
,,39.0,126.0,98.75,352.5,4.025,,22.0,,,,,,,,,146.5,Moderate,Delhi NCR
187.0,,46.25,159.75,122.75,338.5,4.35,,35.25,,,,,,,,,352.0,Very Poor,Delhi NCR
187.0,,34.75,135.75,100.75,366.75,4.275,,34.75,,,,,,,,,352.0,Very Poor,Delhi NCR
187.01865,,40.25,146.0,110.75,356.25,4.6,,35.0,,,,,,,,,352.0,Very Poor,Delhi NCR
187.06839,,40.5,141.75,108.0,360.75,4.5,,35.0,,,,,,,,,352.1,Very Poor,Delhi NCR
187.11812,,29.5,110.5,83.0,379.75,4.05,,22.75,,,,,,,,,352.1,Very Poor,Delhi NCR
187.16785,,25.5,98.75,73.75,385.0,4.425,,19.75,,,,,,,,,352.2,Very Poor,Delhi NCR
187.21759,,30.5,107.25,82.0,379.0,4.175,,44.25,,,,,,,,,352.2,Very Poor,Delhi NCR
187.26732,,38.25,118.75,94.75,369.0,4.075,,48.5,,,,,,,,,352.2,Very Poor,Delhi NCR
187.2984,,45.5,129.0,105.75,359.75,3.875,,41.0,,,,,,,,,352.3,Very Poor,Delhi NCR
,,34.0,107.5,84.5,376.5,3.7,,44.5,,,,,,,,,128.2,Moderate,Delhi NCR
,,43.25,124.0,101.25,361.75,3.3,,76.5,,,,,,,,,144.6,Moderate,Delhi NCR
,,48.25,134.0,110.25,353.75,4.45,,51.5,,,,,,,,,154.5,Moderate,Delhi NCR
,,41.75,122.75,99.25,362.25,4.425,,78.5,,,,,,,,,143.3,Moderate,Delhi NCR
,,37.5,113.75,91.0,365.5,4.875,,101.25,,,,,,,,,134.4,Moderate,Delhi NCR
,,38.5,114.0,92.0,363.25,4.75,,110.0,,,,,,,,,134.7,Moderate,Delhi NCR
,,32.75,104.75,82.75,368.75,4.85,,115.5,,,,,,,,,125.5,Moderate,Delhi NCR
,,34.0,108.75,85.5,366.25,4.725,,115.5,,,,,,,,,129.5,Moderate,Delhi NCR
,,30.25,95.5,75.25,374.25,5.275,,116.5,,,,,,,,,125.0,Moderate,Delhi NCR
,,28.25,81.75,66.5,385.25,4.85,,116.0,,,,,,,,,124.3,Moderate,Delhi NCR
,,43.75,118.75,99.0,360.25,4.975,,83.25,,,,,,,,,139.4,Moderate,Delhi NCR
,,47.5,117.5,100.75,359.25,4.175,,31.0,,,,,,,,,138.1,Moderate,Delhi NCR
,,42.5,112.75,94.25,364.25,5.15,,27.5,,,,,,,,,133.4,Moderate,Delhi NCR
,,36.5,102.25,84.0,373.25,5.375,,27.25,,,,,,,,,123.0,Moderate,Delhi NCR
,,31.0,96.75,76.5,378.25,4.275,,30.25,,,,,,,,,117.6,Moderate,Delhi NCR
,,30.0,100.5,77.75,378.0,4.325,,33.75,,,,,,,,,121.3,Moderate,Delhi NCR
,,28.75,99.5,76.25,379.5,4.725,,41.25,,,,,,,,,120.3,Moderate,Delhi NCR
,,31.5,112.75,86.0,369.5,5.425,,46.5,,,,,,,,,133.4,Moderate,Delhi NCR
,,38.25,129.5,100.0,355.0,6.225,,44.75,,,,,,,,,150.0,Moderate,Delhi NCR
,,40.5,130.0,102.25,350.25,7.8,,31.75,,,,,,,,,150.5,Moderate,Delhi NCR
,,60.0,170.0,139.25,319.25,5.725,,40.0,,,,,,,,,190.1,Moderate,Delhi NCR
,,111.75,255.75,227.0,256.0,5.1,,82.0,,,,,,,,,276.0,Poor,Delhi NCR
,,158.5,332.0,305.25,197.0,5.05,,55.25,,,,,,,,,343.9,Very Poor,Delhi NCR
,,213.75,375.0,384.0,127.75,6.5,,44.5,,,,,,,,,379.4,Very Poor,Delhi NCR
,,188.75,360.0,350.5,165.25,5.0,,45.0,,,,,,,,,367.0,Very Poor,Delhi NCR
,,139.0,276.25,260.0,234.25,5.0,,42.5,,,,,,,,,296.3,Poor,Delhi NCR
