PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
14.755,50.2,5.4175,5.765,11.1825,8.1525,1.2375,0.47,6.345,1.3375,,28.3275,80.1125,0.63,232.14,3.2328947,850.0,51.2,Satisfactory,Mumbai
10.3175,43.35,4.2825,4.275,8.5425,9.8925,1.285,0.4125,6.395,1.1875,,28.18,79.6925,0.5425,200.915,2.7297368,850.0,43.4,Good,Mumbai
5.305,33.5275,4.3625,3.7425,8.0975,15.8025,1.0775,0.485,6.2775,1.1825,,28.105,80.96,0.5,188.1325,,850.0,33.5,Good,Mumbai
9.6825,22.55,4.135,2.6325,6.77,14.15,1.0825,0.395,6.27,1.72,,28.225,80.8425,0.43,179.8475,,850.0,22.6,Good,Mumbai
11.8775,24.85,6.2675,4.5125,10.775,11.54,1.19,0.4025,6.2775,0.895,,28.175,80.4275,0.4375,175.1075,,850.0,24.8,Good,Mumbai
8.245,28.8,25.455,6.7375,32.155,10.5625,1.4925,0.4975,4.6725,1.06,,28.2725,80.8575,0.415,190.4725,5.9566665,850.0,28.8,Good,Mumbai
18.535,68.845,8.2275,8.6825,16.9075,10.0525,1.065,0.5825,5.2275,1.0925,,29.1975,78.5675,0.655,216.9975,39.72,850.0,69.5,Satisfactory,Mumbai
16.255,50.2675,5.9225,4.9625,10.88,7.395,0.98,0.44,6.5875,2.0525,,30.5375,73.2725,0.7575,220.4675,131.445,850.0,51.3,Satisfactory,Mumbai
9.4275,42.35,5.5675,5.1625,10.725,6.0725,1.0725,0.4225,8.095,1.2675,,31.285,71.03,0.895,226.76,259.865,850.0,42.4,Good,Mumbai
12.755,88.415,6.22,4.73,10.93,5.87,1.3425,0.5075,7.605,1.1375,,32.435,66.7625,1.1375,246.1775,503.9725,850.0,88.6,Satisfactory,Mumbai
9.245,50.15,6.22,4.73,10.93,5.87,1.3175,0.555,7.685,1.0275,,32.8025,66.42,1.1975,230.4875,659.6675,850.0,51.1,Satisfactory,Mumbai
13.695,53.6825,6.59625,4.9925,11.57125,8.8675,1.1275,0.575,7.8525,0.865,,33.0525,65.075,1.205,235.7075,698.5775,850.0,54.6,Satisfactory,Mumbai
15.8775,99.6,7.19825,5.4125,12.59725,13.6635,1.235,0.535,6.8875,1.0875,,33.2025,64.085,1.2425,235.45,668.9925,850.0,99.6,Satisfactory,Mumbai
12.245,61.15,7.80025,5.8325,13.62325,18.4595,1.28,0.48,7.75,0.975,,33.2025,64.69,1.3025,247.2775,552.825,850.0,61.9,Satisfactory,Mumbai
14.8175,57.095,8.40225,6.2525,14.64925,23.2555,1.095,0.4275,10.605,0.69,,32.75,65.5625,1.4375,242.9275,475.1225,850.0,58.0,Satisfactory,Mumbai
16.8775,57.0,9.00425,6.6725,15.67525,28.0515,1.15,0.3975,9.83,0.695,,31.975,67.92,1.5375,259.61,318.3525,850.0,57.9,Satisfactory,Mumbai
13.2325,59.85,8.335,8.2825,16.62,14.24,1.29,0.405,8.23,0.78,,31.11,71.175,1.46,250.66,161.38,850.0,60.7,Satisfactory,Mumbai
13.0,57.15,10.7875,8.0075,18.7975,12.1825,1.5125,0.45,6.53,0.7675,,29.705,76.745,1.5675,249.9725,27.82,850.0,58.0,Satisfactory,Mumbai
8.3175,50.35,12.29,9.4575,21.7425,25.0575,1.47,0.505,5.445,0.7975,,28.9825,80.1525,1.2175,253.915,4.12,850.0,51.3,Satisfactory,Mumbai
7.25,39.5,8.3375,10.9975,19.3275,20.4075,1.4075,0.485,6.81,0.695,,28.7525,82.3475,1.02,248.4,4.12,850.0,39.5,Good,Mumbai
11.695,40.75,6.235,10.54,16.7725,15.505,1.385,0.4675,7.995,1.28,,28.7225,83.43,0.925,238.735,3.8594737,850.0,40.8,Good,Mumbai
9.1825,40.0525,5.55,8.2575,13.8175,14.0525,1.365,0.4625,6.7525,1.2325,,28.845,82.6725,0.78,237.9675,3.4426315,850.0,40.1,Good,Mumbai
14.6325,40.95,4.9175,7.79,12.7075,12.55,1.2475,0.4725,7.605,1.16,,28.895,82.22,0.695,223.55,3.0257895,850.0,41.0,Good,Mumbai
12.1925,51.42,3.53,6.2025,9.7375,9.2125,1.28,0.44,6.815,1.6225,,28.865,82.5975,0.68,226.9375,2.6089473,850.0,52.4,Satisfactory,Mumbai
12.0,18.75,3.9375,4.8575,8.7925,8.5575,1.325,0.415,7.5175,1.3025,,28.8325,82.6425,0.65,223.085,2.1921053,850.0,20.8,Good,Mumbai
12.0,34.1,3.95,4.5625,8.5225,11.385,1.2675,0.3825,7.3825,1.3525,,28.735,82.82,0.6525,215.3925,1.7752632,850.0,34.1,Good,Mumbai
8.25,31.25,3.53,2.6875,6.2275,16.8725,1.3075,0.3825,9.38,1.2825,,28.66,82.7575,0.81,231.7775,,850.0,31.2,Good,Mumbai
5.1225,18.6325,3.5175,2.4075,5.925,17.28,1.3125,0.3575,9.16,0.9475,,28.48,82.965,0.6725,234.255,,850.0,18.6,Good,Mumbai
3.1225,23.7,2.8875,2.5975,5.485,13.5875,1.215,0.38,8.1925,0.7575,,28.295,83.535,0.72,228.8225,,850.0,23.7,Good,Mumbai
